Mto_TC,SUELDO_ESTIMADO,EDAD,ANTIGUEDAD_MES,MARCA,Nombre_territorio,REGION,SEXO,SEGMENTO,FLAG_LIMA_PROVINCIA,FLAG_UNICEF,FLAG_SS
1000,1840.5,38.0,1.0,Visa,T.NORTE SUR CHICO,NORTE,M,CLASICO,0.0,0,0
6500,2053.33,36.0,7.0,Visa,T.CENTRO,SIERRA CENTRAL,M,CLASICO,0.0,0,0
3700,2240.0,59.0,108.0,Visa,T.NORTE,NORTE,M,CLASICO,0.0,0,0
11500,903.67,62.0,194.0,Visa,T.NORTE,NORTE,M,CLASICO,0.0,0,1
2000,1821.56,27.0,25.0,Visa,T.NORTE,LIMA MODERNA,M,CLASICO,1.0,0,0
7600,2573.0,47.0,148.0,Visa,T.SUR,SIERRA CENTRAL,F,CLASICO,0.0,0,0
12500,2450.0,30.0,,Visa,T.LINCE,LIMA ESTE,M,,1.0,0,0
5300,1123.89,24.0,26.0,Visa,T.LINCE,LIMA ESTE,F,CLASICO,1.0,0,0
2000,2185.875,39.0,4.0,Visa,T.SURCO LA MOLINA,LIMA SUR,F,CLASICO,1.0,0,0
850,3055.33,30.0,60.0,Visa,T.SURCO LA MOLINA,LIMA MODERNA,F,CLASICO,1.0,0,0
2000,1516.875,28.0,53.0,Visa,T.SURCO LA MOLINA,LIMA ESTE,F,BAJO VALOR,1.0,0,0
4000,1131.0,44.0,171.0,Visa,T.SURCO LA MOLINA,LIMA MODERNA,F,CLASICO,1.0,0,0
4400,1210.17,62.0,23.0,Visa,T.CALLAO SAN MIGUEL,CALLAO,M,BAJO VALOR,1.0,0,0
2000,4636.0,33.0,180.0,Visa,T.LIMA CENTRO,LIMA CENTRO,F,CLASICO,1.0,0,0
1000,,29.0,25.0,Visa,T.CALLAO SAN MIGUEL,LIMA MODERNA,M,BAJO VALOR,1.0,0,0
5000,2153.0,37.0,143.0,Visa,T.SUR,SIERRA CENTRAL,F,CLASICO,0.0,0,0
12000,700.0,45.0,194.0,Visa,T.LINCE,LIMA CENTRO,F,VIP,1.0,0,0
25000,6314.0,37.0,220.0,Visa,T.LINCE,LIMA MODERNA,F,CLASICO,1.0,0,0
700,1380.0,32.0,62.0,Visa,T.NORTE SUR CHICO,LIMA ESTE,M,Micro empresa,1.0,0,0
3000,589.0,43.0,,Visa,T.NORTE SUR CHICO,LIMA NORTE,F,,1.0,0,0
12000,1273.0,57.0,9.0,Visa,T.SURCO LA MOLINA,NORTE,F,BAJO VALOR,0.0,0,0
800,150.0,22.0,47.0,Visa,T.SURCO LA MOLINA,LIMA MODERNA,F,BAJO VALOR,1.0,0,0
9100,2833.0,44.0,,Visa,T.SURCO LA MOLINA,LIMA ESTE,M,,1.0,0,0
12000,8500.0,27.0,40.0,Visa,T.SURCO LA MOLINA,LIMA MODERNA,M,CLASICO,1.0,0,0
2000,1463.75,27.0,29.0,Visa,T.LINCE,LIMA MODERNA,M,CLASICO,1.0,0,0
9000,1800.0,30.0,17.0,Visa,T.MIRAFLORES S.BORJA,LIMA CENTRO,M,CLASICO,1.0,0,0
5000,,39.0,73.0,Visa,T.NORTE SUR CHICO,LIMA NORTE,M,BAJO VALOR,1.0,0,0
700,,58.0,2.0,Visa,T.LIMA RESIDENCIAL,LIMA CENTRO,F,BAJO VALOR,1.0,0,0
700,578.0,55.0,39.0,Visa,T.LIMA SUR,LIMA SUR,F,CLASICO,1.0,0,0
5000,7475.5,26.0,73.0,Visa,T.LIMA CENTRO,LIMA ESTE,F,CLASICO,1.0,0,0
2000,,43.0,1.0,Visa,T.CALLAO SAN MIGUEL,CALLAO,F,BAJO VALOR,1.0,0,0
700,1703.86,27.0,58.0,Visa,T.CALLAO SAN MIGUEL,CALLAO,M,CLASICO,1.0,0,0
1000,1095.5,23.0,51.0,Visa,T.CALLAO SAN MIGUEL,CALLAO,M,CLASICO,1.0,0,0
3000,,26.0,1.0,Visa,T.CALLAO SAN MIGUEL,LIMA ESTE,M,BAJO VALOR,1.0,0,0
5200,1061.17,25.0,10.0,Visa,T.CALLAO SAN MIGUEL,NORTE,M,BAJO VALOR,0.0,0,0
5000,525.0,37.0,170.0,Visa,T.CALLAO SAN MIGUEL,LIMA ESTE,M,CLASICO,1.0,0,0
5000,10476.11,37.0,63.0,Visa,T.CALLAO SAN MIGUEL,LIMA NORTE,M,VIP,1.0,0,0
700,,21.0,6.0,Visa,T.LINCE,LIMA NORTE,M,BAJO VALOR,1.0,0,0
5000,2862.5,33.0,149.0,Visa,T.LIMA CENTRO,LIMA MODERNA,F,CLASICO,1.0,0,0
5000,1516.875,29.0,23.0,Visa,T.LIMA SUR,LIMA MODERNA,M,CLASICO,1.0,0,0
17000,6755.0,43.0,136.0,Visa,T.LIMA CENTRO,LIMA CENTRO,M,CLASICO,1.0,0,0
53000,3258.0,30.0,,Visa,T.LIMA CENTRO,LIMA ESTE,M,,1.0,0,0
3700,823.0,47.0,99.0,Visa,T.CALLAO SAN MIGUEL,CALLAO,M,CLASICO,1.0,0,0
6300,1271.14,33.0,18.0,Visa,T.LINCE,LIMA CENTRO,M,BAJO VALOR,1.0,0,0
100000,15177.0,43.0,90.0,Visa,T.LINCE,LIMA MODERNA,M,DIAMANTE,1.0,0,0
6000,1860.375,47.0,14.0,Visa,T.LIMA CENTRO,LIMA MODERNA,F,CLASICO,1.0,0,0
3000,70.0,33.0,114.0,Visa,T.LIMA RESIDENCIAL,LIMA NORTE,M,CLASICO,1.0,0,0
10000,1965.0,26.0,71.0,Visa,T.LIMA RESIDENCIAL,LIMA ESTE,F,CLASICO,1.0,0,0
5000,1567.75,51.0,16.0,Visa,T.LIMA CENTRO,LIMA CENTRO,M,Micro empresa,1.0,0,0
50000,885.0,40.0,260.0,Visa,T.MIRAFLORES S.BORJA,LIMA MODERNA,M,VIP,1.0,0,0
5000,4435.67,38.0,92.0,Visa,T.MIRAFLORES S.BORJA,CALLAO,M,CLASICO,1.0,0,0
2000,525.0,73.0,138.0,Visa,T.MIRAFLORES S.BORJA,SIERRA CENTRAL,F,CLASICO,0.0,0,0
750,2929.75,44.0,39.0,Visa,T.MIRAFLORES S.BORJA,,M,CLASICO,,0,0
7100,1169.5,34.0,11.0,Visa,T.MIRAFLORES S.BORJA,LIMA CENTRO,M,BAJO VALOR,1.0,0,0
28500,3541.0,40.0,234.0,Visa,T.MIRAFLORES S.BORJA,LIMA MODERNA,F,VIP,1.0,0,0
30000,,,3.0,Visa,T.LIMA RESIDENCIAL,,,DIAMANTE,,0,0
800,2169.625,23.0,13.0,Visa,T.SURCO LA MOLINA,CENTRO,M,BAJO VALOR,0.0,0,1
6100,1610.25,33.0,,Visa,T.CENTRO,CENTRO,M,,0.0,0,0
3500,2185.875,36.0,1.0,Visa,T.SURCO LA MOLINA,NORTE,F,CLASICO,0.0,0,0
12500,1445.0,50.0,146.0,Visa,T.CENTRO,CENTRO,M,CLASICO,0.0,0,0
9900,1260.0,37.0,57.0,Visa,T.LINCE,LIMA MODERNA,F,CLASICO,1.0,0,0
12000,7126.0,36.0,207.0,Visa,T.LINCE,NORTE,M,CLASICO,0.0,0,0
4000,1800.0,25.0,48.0,Visa,T.LINCE,LIMA MODERNA,F,CLASICO,1.0,0,0
14500,4682.0,32.0,35.0,Visa,T.CENTRO,CENTRO,M,CLASICO,0.0,0,0
7500,2301.0,43.0,,Visa,T.NORTE SUR CHICO,LIMA PROVINCIA,F,,1.0,0,0
5800,858.0,36.0,,Visa,T.NORTE,NORTE,M,,0.0,0,0
2000,991.0,42.0,3.0,Visa,T.NORTE,ORIENTE,M,CLASICO,0.0,0,0
4600,1228.125,65.0,220.0,Visa,T.NORTE SUR CHICO,LIMA PROVINCIA,M,CLASICO,1.0,0,0
1400,2550.0,59.0,249.0,Visa,T.NORTE,NORTE,M,Micro empresa,0.0,0,0
10000,5460.0,46.0,14.0,Visa,T.SUR,SIERRA CENTRAL,M,CLASICO,0.0,0,0
8500,3623.0,39.0,4.0,Visa,T.SUR,SIERRA CENTRAL,M,CLASICO,0.0,0,0
10300,3360.0,37.0,224.0,Visa,T.NORTE,LIMA PROVINCIA,F,CLASICO,1.0,0,0
700,5808.33,36.0,135.0,Visa,T.NORTE SUR CHICO,LIMA NORTE,M,CLASICO,1.0,0,0
6700,862.0,39.0,181.0,Visa,T.NORTE SUR CHICO,LIMA NORTE,F,CLASICO,1.0,0,0
1000,2239.67,38.0,196.0,Visa,T.CALLAO SAN MIGUEL,LIMA SUR,M,CLASICO,1.0,0,0
32000,6400.0,41.0,136.0,Visa,T.CALLAO SAN MIGUEL,LIMA MODERNA,F,CLASICO,1.0,0,0
1300,1834.38,42.0,275.0,Visa,T.CALLAO SAN MIGUEL,LIMA MODERNA,M,CLASICO,1.0,0,0
12000,14926.86,40.0,204.0,Visa,T.LIMA RESIDENCIAL,LIMA MODERNA,M,VIP,1.0,0,0
10000,8351.0,35.0,44.0,Visa,T.LIMA RESIDENCIAL,LIMA MODERNA,M,CLASICO,1.0,0,0
9500,578.0,52.0,117.0,Visa,T.LIMA CENTRO,LIMA ESTE,F,CLASICO,1.0,0,0
700,1153.125,54.0,13.0,Visa,T.LIMA CENTRO,LIMA ESTE,M,BAJO VALOR,1.0,0,0
57500,2104.0,59.0,237.0,Visa,T.LIMA CENTRO,CALLAO,F,CLASICO,1.0,0,0
3000,,29.0,24.0,Visa,T.CALLAO SAN MIGUEL,CALLAO,M,BAJO VALOR,1.0,0,1
1500,1084.56,22.0,44.0,Visa,T.SURCO LA MOLINA,LIMA ESTE,M,CLASICO,1.0,0,0
20000,4060.0,29.0,32.0,Visa,T.SURCO LA MOLINA,LIMA MODERNA,F,CLASICO,1.0,0,0
10000,4766.89,32.0,105.0,Visa,T.CALLAO SAN MIGUEL,CALLAO,F,CLASICO,1.0,0,0
30000,5460.0,40.0,203.0,Visa,T.SURCO LA MOLINA,LIMA MODERNA,M,CLASICO,1.0,0,0
2500,1487.0,57.0,1.0,Visa,T.CALLAO SAN MIGUEL,LIMA MODERNA,M,CLASICO,1.0,0,0
9100,5816.0,40.0,89.0,Visa,T.NORTE,NORTE,F,VIP,0.0,0,0
2000,2070.75,53.0,20.0,Visa,T.NORTE,ORIENTE,M,Micro empresa,0.0,0,0
1000,1260.0,44.0,173.0,Visa,T.NORTE,LIMA NORTE,M,CLASICO,1.0,0,0
3500,2076.0,67.0,243.0,Visa,T.NORTE,NORTE,M,CLASICO,0.0,0,0
6000,2078.0,56.0,216.0,Visa,T.NORTE,ORIENTE,M,Micro empresa,0.0,0,0
1000,1020.0,23.0,31.0,Visa,T.SURCO LA MOLINA,LIMA CENTRO,M,BAJO VALOR,1.0,0,0
1000,3652.44,52.0,217.0,Visa,T.SURCO LA MOLINA,LIMA ESTE,M,CLASICO,1.0,0,0
5000,1040.0,80.0,144.0,Visa,T.SURCO LA MOLINA,LIMA MODERNA,M,BAJO VALOR,1.0,0,0
8800,2289.75,29.0,73.0,Visa,T.SURCO LA MOLINA,LIMA MODERNA,M,CLASICO,1.0,0,0
10000,6082.89,29.0,58.0,Visa,T.LIMA CENTRO,LIMA CENTRO,M,VIP,1.0,0,0
2000,1067.25,36.0,20.0,Visa,T.NORTE,NORTE,F,CLASICO,0.0,0,0
